Incident_ID,Date_Incident,Region,Department_Affected,Asset_Type,Incident_Type,Severity,Priority,Detection_Source,Status,Time_to_Detect_min,Time_to_Contain_min,Time_to_Resolve_min,Business_Impact,Downtime_min,Estimated_Cost_EUR,Root_Cause,Data_Sensitivity,SLA_Breached,Analyst
INC-20240001,2024-12-02 05:04:49,Luxembourg,Procurement,Server,Unauthorized Access,  Low  ,P4 - Low,,In Progress,204 min,78,495,Minor,39 min,336,Weak Password,Public,Yes,A. Weber
INC-20240002,2025-06-21 08:01:33,Germany,Sales,Workstation,Unauthorized Access,High,P2 - High,Threat Intel,Resolved,1606,1443,4153,Moderate,-887,33999,Insider Error,Internal,No,L. Müller
INC-20240003,2024-07-26 13:04:12,France,Sales,Workstation,Lost/Stolen Device,Medium,  P3 - Medium  ,Audit,In Progress,175,207,479,None,0,2479,,Restricted,No,E. Bernard
INC-20240004,2024-10-31 02:31:56,Luxembourg,Operations,  Email Account  ,Misconfiguration,Medium,P3 - Medium,SIEM,Resolved,207,79,534,Moderate,170,887,Lost/Stolen,,No,C. Schmidt
INC-20240005,2024-06-30 22:10:40,Belgium,Procurement,Cloud Service,Phishing,Low,P4 - Low,User Report,In Progress,97,34,676,Moderate,166,374,Social Engineering,Restricted,No,L. Müller
INC-20240006,2024-12-08 01:10:07,France,R&D,Email Account,Data Exfiltration,Critical,critical (P1),SIEM,Eradicated,1710,1425,8003,Moderate,2555 min,105884,  Third-Party Supplier  ,Confidential,No,J. Becker
INC-20240007,2025-01-14 05:05:01,  Belgium  ,Procurement,Email Account,  Malware  ,Critical,P1 - Critical,Audit,Resolved,566,622,2007,Minor,155,102816,Third-Party Supplier,Internal,Yes,S. Rossi
INC-20240008,2024-08-08 05:33:53,Belgium,R&D,Server,Ransomware,  Medium  ,P3 - Medium,EDR,Eradicated,1006,543,-692,None,0,6160 EUR,,Internal,No,A. Weber
INC-20240009,2025-01-16 23:20:12,France,  Finance  ,Email Account,  Data Exfiltration  ,Medium,P3 - Medium,EDR,Contained,366,516,2915,Moderate,658,3042,Weak Password,Restricted,No,E. Bernard
INC-20240010,04/08/2024 22:45,France,Procurement,Cloud Service,Lost/Stolen Device,High,p2-high,User Report,Eradicated,565,373,1322,Minor,123,8444,Unpatched Vulnerability,Internal,,A. Weber
INC-20240011,2025-04-24 11:11:46,Belgium,IT,Cloud Service,Unauthorised Access,High,P2 - High,Email Gateway,  Resolved  ,447,684,1982,None,0,26936,,Confidential,No,S. Rossi
INC-20240012,2025-01-14 19:12:43,Germany,Operations,Cloud Service,Phising,  Medium  ,P3 - Medium,Audit,Eradicated,106,115,935,Minor,-65,€ 2745,Insider Error,,  No  ,J. Becker
INC-20240013,2024-12-09 21:25:28,Belgium,IT,Server,Phishing,Low,P4 - Low,Audit,Resolved,163,86,130,Minor,15,429,Unpatched Vulnerability,  Public  ,Yes,C. Schmidt
INC-20240014,2024-11-23 19:37:58,Belgium,Facilities,Cloud Service,Phishing,Low,P4 - Low,Threat Intel,In Progress,124,55,251,Moderate,66,263 EUR,Misconfiguration,,Yes,N. Laurent
INC-20240015,2024-06-12 23:47:29,Luxembourg,IT,  Database  ,Mal-ware,Medium,P3 - Medium,,Eradicated,431,461,896,Moderate,207,3775,Lost/Stolen,Public,Yes,J. Becker
INC-20240016,2024-07-04 16:08:02,Luxembourg,IT,Workstation,  Phishing  ,Low,P4 - Low,SIEM,Resolved,161,64,543,Minor,63,358,Lost/Stolen,,,J. Becker
INC-20240017,2025-05-11 00:04:42,Germany,Sales,Application,Phising,Low,P4 - Low,IDS/IPS,In Progress,30,65,182,None,0,364,Insider Error,Restricted,No,J. Becker
INC-20240018,2024-06-19 11:25:04,Luxembourg,IT,Application,Phishing,Low,P4 - Low,Email Gateway,Resolved,172,87,481,Major,273,516,Third-Party Supplier,Internal,  No  ,M. Dupont
INC-20240019,2024-12-14 14:42:03,Luxembourg,Operations,Workstation,Misconfig,Low,P4 - Low,Email Gateway,Contained,55,-29,266,None,0,€ 161,Insider Error,Internal,No,E. Bernard
INC-20240020,2025-05-28 04:45:54,France,Facilities,Mobile Device,Phishing,  Medium  ,p3-medium,,Resolved,246,170,1158,Minor,137,2974,Weak Password,Internal,  No  ,M. Dupont
INC-20240021,2025-04-10 02:30:16,Belgium,Legal,Email Account,Phishing,Low,  P4 - Low  ,User Report,In Progress,81,45,170,Minor,20,563,,Confidential,No,A. Weber
INC-20240022,2024-08-02 04:53:21,France,Finance,Server,Unauthorized  Access,High,P2 High,  Audit  ,Resolved,673,909,3152,Major,-1797,14 257,Social Engineering,Internal,Yes,C. Schmidt
INC-20240023,2025-08-31 09:08:34,Luxembourg,Finance,Database,Phishing,Medium,p3-medium,Threat Intel,Eradicated,188,108,588,Minor,59,2454,Weak Password,Internal,Yes,E. Bernard
INC-20240024,2024-04-27 04:04:23,  Luxembourg  ,HR,Workstation,  Phishing  ,Low,P4 - Low,Threat Intel,Eradicated,165,79,-268,Moderate,102,223,Third-Party Supplier,Public,Yes,E. Bernard
INC-20240025,2024-05-28 13:01:38,  Belgium  ,Operations,Server,Malware,Critical,P1 - Critical,,  Resolved  ,601,1278 min,5374,Major,2356,83364,Lost/Stolen,Internal,No,S. Rossi
INC-20240026,16/10/2024 15:00,Luxembourg,HR,Mobile Device,Lost/Stolen Device,Low,  P4 - Low  ,Threat Intel,  Resolved  ,353,59,316,Minor,24,€ 443,Lost/Stolen,Confidential,No,L. Müller
INC-20240027,2024-05-27 17:08:14,Belgium,  Operations  ,Application,Phishing,Medium,P3 - Medium,IDS/IPS,Eradicated,-272,188,833 min,None,0,2258 EUR,Lost/Stolen,Confidential,Yes,L. Müller
INC-20240028,01-28-2025 12:47,Germany,Procurement,  Mobile Device  ,Malware,Medium,P3 - Medium,SIEM,Contained,133,-193,2143,None,0,4167,  Social Engineering  ,Internal,  No  ,E. Bernard
INC-20240029,2025-03-05 15:53:19,Luxembourg,  R&D  ,Cloud Service,Phshing,Medium,P3 - Medium,IDS/IPS,Contained,145,122,-687,Minor,76,687,Misconfiguration,Public,No,L. Müller
INC-20240030,2025-03-22 22:41:18,France,Finance,  Email Account  ,Malware,Low,low (P4),Email Gateway,Eradicated,127,35,325,Moderate,105 min,269,,Internal,No,S. Rossi
INC-20240031,2024-10-13 22:24:36,France,R&D,Workstation,Phishing,Medium,P3 - Medium,IDS/IPS,Eradicated,149,351,405 min,  Minor  ,50,€ 2900,  Misconfiguration  ,Confidential,No,C. Schmidt
INC-20240032,2025-08-15 06:10:41,Luxembourg,Sales,Mobile Device,Malware,Medium,P3 - Medium,  SIEM  ,  Resolved  ,-210 min,270,344,Minor,40,3104,Lost/Stolen,Internal,No,L. Müller
INC-20240033,01/07/2024 16:34,  Germany  ,Operations,  Database  ,Phising,Low,low (P4),EDR,Eradicated,102,106,454,Major,246,282,Unpatched Vulnerability,Confidential,Yes,M. Dupont
INC-20240034,2025-09-30 16:54:49,Luxembourg,Procurement,Cloud Service,DDoS,Medium,P3 - Medium,Threat Intel,Contained,511,364,1342 min,Moderate,496,4496,Unpatched Vulnerability,Confidential,No,C. Schmidt
INC-20240035,2025-09-16 15:32:13,Germany,HR,Application,  Lost/Stolen Device  ,High,P2 High,EDR,Eradicated,522,-578,2455,Moderate,517,6 912,Unpatched Vulnerability,,No,J. Becker
INC-20240036,2025-02-04 08:32:15,France,Legal,Mobile Device,  Unauthorized Access  ,  Medium  ,P3 - Medium,  Email Gateway  ,Contained,201,512,1071,None,0,2428,Unpatched Vulnerability,  Internal  ,No,L. Müller
INC-20240037,2025-06-17 02:16:01,Belgium,R&D,Database,Phishing,Low,P4 - Low,Threat Intel,Resolved,73,80,-432,Minor,47,558,Insider Error,,No,N. Laurent
INC-20240038,2025-05-22 15:15:21,  Belgium  ,  Facilities  ,Cloud Service,Malware,Critical,P1 - Critical,IDS/IPS,In Progress,518,1086,8987,Minor,679 min,€ 86888,Weak Password,Internal,No,N. Laurent
INC-20240039,2024-05-15 14:20:45,Luxembourg,Finance,Database,  Data Exfiltration  ,Critical,P1 - Critical,User Report,Resolved,1815,1723,9899,Major,7336,353820 EUR,Unpatched Vulnerability,Public,,L. Müller
INC-20240040,2025-01-27 15:20:55,France,  Finance  ,Application,Mal-ware,Medium,p3-medium,SIEM,Resolved,-357,235,2238,Moderate,702,3 051,Weak Password,  Restricted  ,,M. Dupont
INC-20240041,2024-12-27 07:15:30,Luxembourg,HR,Cloud Service,Ddos,  High  ,P2 - High,User Report,In Progress,961,365,1181,Moderate,447,26161,Weak Password,Internal,Yes,  E. Bernard  
INC-20240042,2024-08-13 05:57:45,France,Finance,Workstation,DDoS,  Medium  ,  P3 - Medium  ,IDS/IPS,Resolved,454,251,1723,Moderate,366,5081,Misconfiguration,Internal,,M. Dupont
INC-20240043,20 Feb 2025 21:51,Luxembourg,IT,Mobile Device,Unauthorized Access,Critical,P1 - Critical,Email Gateway,In Progress,1218,971,2425,Minor,293,100788,Social Engineering,Public,  No  ,A. Weber
INC-20240044,2025-04-23 23:08:27,Germany,HR,Database,Misconfig,  High  ,high (P2),User Report,Resolved,167,256,436,None,0,10595,Insider Error,Internal,No,  J. Becker  
INC-20240045,2025-03-14 08:56:17,Luxembourg,  Sales  ,Application,Malware,High,P2 - High,,Resolved,337,388,1491 min,Minor,182 min,19368,Third-Party Supplier,Confidential,No,A. Weber
INC-20240046,2025-04-16 09:24:22,France,Sales,Email Account,Ransomware,High,P2 - High,Email Gateway,Contained,759,1546,6774,Minor,620,23091,Unpatched Vulnerability,  Public  ,No,J. Becker
INC-20240047,2025-09-02 16:19:03,  Luxembourg  ,Finance,Email Account,Unauthorized Access,Medium,medium (P3),User Report,In Progress,412,325,1372,Minor,161,4 682,Unpatched Vulnerability,Internal,No,J. Becker
INC-20240048,2025-03-22 12:48:32,Germany,Sales,Email Account,Unauthorized Access,Medium,P3 - Medium,IDS/IPS,Eradicated,2824,730,2682 min,Major,1985,3 608,  Insider Error  ,Internal,Yes,S. Rossi
INC-20240049,2025-10-07 21:43:42,France,Finance,  Cloud Service  ,Phishing,  Medium  ,  P3 - Medium  ,IDS/IPS,Eradicated,158,143,484,Minor,47,2038,  Unpatched Vulnerability  ,Internal,No,  S. Rossi  
INC-20240050,08-25-2024 23:13,Germany,Finance,Workstation,Phishing,Critical,critical (P1),Email Gateway,Eradicated,669,913,984,Minor,70,20023,  Misconfiguration  ,Internal,Yes,A. Weber
INC-20240051,2024-06-23 14:35:21,Germany,Finance,Workstation,Phishing,High,P2 - High,User Report,Contained,286,446,1077,None,0,5962,Third-Party Supplier,Restricted,Yes,L. Müller
INC-20240052,2024-12-05 19:01:34,Germany,Facilities,Application,Phishing,Medium,P3 - Medium,IDS/IPS,Resolved,182,146,959,Moderate,210,2042,  Misconfiguration  ,,No,M. Dupont
INC-20240053,2024-07-10 05:43:05,  Belgium  ,  HR  ,Server,Lost/Stolen Device,Low,P4 - Low,User Report,Contained,311,90,78,Minor,9,289,,Confidential,  No  ,A. Weber
INC-20240054,2025-07-26 02:35:29,Belgium,Sales,Cloud Service,  Phishing  ,  Medium  ,P3 - Medium,EDR,Contained,302,141,786,Moderate,168,3156,Unpatched Vulnerability,Confidential,No,S. Rossi
INC-20240055,2025-02-07 15:59:20,Luxembourg,Facilities,Email Account,Phishing,Low,P4 - Low,Audit,In Progress,132,83,105,Minor,-8,220,Social Engineering,Internal,No,M. Dupont
INC-20240056,2024-12-30 00:56:30,Luxembourg,Operations,Workstation,Unauthorized Access,Critical,P1 - Critical,Threat Intel,Resolved,-1146,3167,6683,Moderate,2197,110048,Social Engineering,  Internal  ,No,S. Rossi
INC-20240057,20/10/2024 21:18,Germany,Facilities,Server,Mal-ware,High,P2 - High,EDR,Eradicated,2019,1085,1041,Major,570,20453,Social Engineering,Internal,Yes,S. Rossi
INC-20240058,2025-06-02 20:01:42,Luxembourg,Facilities,Server,Malware,High,P2 - High,,Eradicated,395,449,2291,Minor,225,6828,  Weak Password  ,Restricted,No,A. Weber
INC-20240059,2024-10-27 18:52:32,France,Facilities,Application,Unauthorized Access,High,high (P2),Threat Intel,Contained,183,301 min,1732,Minor,162,22524,Social Engineering,Internal,No,J. Becker
INC-20240060,2024-12-19 05:45:58,France,Procurement,  Workstation  ,  Misconfiguration  ,Medium,  P3 - Medium  ,Email Gateway,In Progress,93,92,498,None,0,1961,Unpatched Vulnerability,,No,J. Becker
INC-20240061,2025-02-10 18:31:38,France,R&D,Application,Lost/Stolen Device,Medium,P3 - Medium,  EDR  ,Eradicated,420,199,439,Minor,32,2864,,,Yes,S. Rossi
INC-20240062,2025-06-16 12:22:28,France,IT,Email Account,Misconfiguration,Low,low (P4),Audit,Eradicated,-150,64,198,Moderate,75,354,Third-Party Supplier,Internal,No,  S. Rossi  
INC-20240063,09 May 2025 16:34,France,Operations,Cloud Service,  Malware  ,  Medium  ,P3 - Medium,,Eradicated,452,96,2589,Minor,327,2 522,,Confidential,,J. Becker
INC-20240064,2024-09-20 18:02:03,Luxembourg,HR,  Mobile Device  ,Data Exfiltration,Critical,P1 - Critical,Threat Intel,Contained,659,1657,3964,Minor,294,126547,Lost/Stolen,,No,J. Becker
INC-20240065,2024-09-23 02:43:27,Germany,Sales,Mobile Device,  Phishing  ,Low,P4 - Low,Email Gateway,Resolved,110,107,347,Moderate,112,577,Insider Error,Public,No,N. Laurent
INC-20240066,2025-08-30 19:41:52,Luxembourg,Finance,Cloud Service,Lost/Stolen Device,  Medium  ,P3 - Medium,Audit,Resolved,260,386,1502,Moderate,391,1421,,Restricted,No,N. Laurent
INC-20240067,29 Jul 2024 16:09,Belgium,Sales,Workstation,Lost/Stolen Device,High,P2 - High,SIEM,Eradicated,925,-698,2033,Moderate,563,17347,Weak Password,,  No  ,S. Rossi
INC-20240068,2024-10-19 06:11:20,  Belgium  ,Finance,Database,Phishing,Low,P4 - Low,Email Gateway,Resolved,147,92,248,  Moderate  ,90,323,Misconfiguration,Restricted,Yes,J. Becker
INC-20240069,2025-08-07 10:28:20,Belgium,Finance,Application,Unauthorised Access,High,P2 - High,IDS/IPS,Resolved,1215,984,5736,Moderate,1535,33826,Social Engineering,,No,E. Bernard
INC-20240070,2025-08-25 03:52:59,Belgium,R&D,Mobile Device,Malware,Medium,P3 - Medium,  Email Gateway  ,Eradicated,435,381,1198,Major,913,3450,,Internal,No,N. Laurent
INC-20240071,07 Jun 2024 22:04,Germany,Sales,Cloud Service,Phishing,Medium,P3 - Medium,Email Gateway,Resolved,202,599 min,460,Moderate,152,2605,Unpatched Vulnerability,Confidential,No,S. Rossi
INC-20240072,28/02/2025 16:02,Luxembourg,  Legal  ,  Network Device  ,Unauthorized  Access,Critical,P1 - Critical,,Resolved,806,1790,7641,  Moderate  ,1730,158166,,Confidential,Yes,S. Rossi
INC-20240073,2025-09-13 09:55:20,Belgium,Sales,Application,DDoS,High,P2 - High,Threat Intel,Eradicated,-593 min,307,3101,Minor,282,7850,Lost/Stolen,Internal,Yes,M. Dupont
INC-20240074,2025-05-29 20:17:28,France,Finance,Database,Phishing,High,P2 - High,SIEM,Eradicated,529,517,1201,Moderate,385,4667,Weak Password,Internal,No,E. Bernard
INC-20240075,2024-08-06 08:30:47,Germany,IT,Mobile Device,Unauthorized Access,Critical,P1 - Critical,Email Gateway,Eradicated,2001,1408,5470,Major,2464,295672,Weak Password,Confidential,No,E. Bernard
INC-20240076,26/05/2024 11:04,Germany,Finance,Server,Unauthorized Access,Medium,P3 - Medium,User Report,  Resolved  ,294,97,346,None,0,6129,,,No,N. Laurent
INC-20240077,28 Jul 2024 17:48,Germany,Sales,  Workstation  ,Unauthorized Access,High,P2 - High,Audit,  Eradicated  ,655,588,3158 min,Moderate,904,32278,,Internal,Yes,C. Schmidt
INC-20240078,2025-04-20 02:12:16,Germany,Sales,Cloud Service,Phishing,Medium,P3 - Medium,SIEM,Resolved,389,160,355,Minor,25,1844,,  Internal  ,No,A. Weber
INC-20240079,2024-11-14 02:29:52,Belgium,Operations,Cloud Service,Phising,Low,p4-low,IDS/IPS,Resolved,221,64,530,Major,406,301,Lost/Stolen,Restricted,Yes,S. Rossi
INC-20240080,2024-08-08 00:56:19,Belgium,IT,Mobile Device,Lost/Stolen Device,Medium,P3 - Medium,  Threat Intel  ,Resolved,633,363,809,Moderate,202,3960,Third-Party Supplier,Internal,Yes,A. Weber
INC-20240081,2024-06-22 17:20:22,Germany,  Legal  ,  Server  ,Phishing,Low,P4 - Low,EDR,False Positive,94,43,183,None,0,372,Third-Party Supplier,Public,No,E. Bernard
INC-20240082,2025-08-21 14:37:20,Germany,Finance,Application,Malware,Critical,P1 - Critical,Audit,Resolved,422,1189,4096,None,0,121899,Weak Password,Confidential,,S. Rossi
INC-20240083,2025-03-16 13:52:05,France,Facilities,Database,Phishing,Low,P4 - Low,  SIEM  ,Resolved,199 min,76,1044,  Moderate  ,271,190,Weak Password,Confidential,No,L. Müller
INC-20240084,2025-07-26 14:31:02,Germany,  Finance  ,Mobile Device,  Malware  ,High,P2 - High,EDR,Eradicated,347,124,1050,Minor,110,6361,  Social Engineering  ,Internal,Yes,  J. Becker  
INC-20240085,2024-07-25 13:34:03,Belgium,Procurement,  Workstation  ,Phishing,Medium,P3 - Medium,Email Gateway,Resolved,-198,331,916,None,0,1056,Third-Party Supplier,Internal,,C. Schmidt
INC-20240086,2024-06-09 10:28:20,France,Legal,Server,Misconfiguration,High,  P2 - High  ,Email Gateway,False Positive,304,148,3456,Minor,435,13043,Unpatched Vulnerability,Confidential,Yes,M. Dupont
INC-20240087,2025-01-28 20:54:08,Belgium,R&D,Workstation,Mal-ware,Medium,P3 - Medium,Email Gateway,Resolved,307,-113,206,None,0,4 193,Lost/Stolen,Confidential,Yes,E. Bernard
INC-20240088,2024-04-24 06:36:17,Belgium,R&D,Server,Data Exfiltration,High,P2 High,User Report,Resolved,1649,679,6052,Minor,574,17710,Weak Password,Public,No,N. Laurent
INC-20240089,2025-03-16 20:39:55,Luxembourg,IT,Network Device,  Malware  ,Medium,  P3 - Medium  ,User Report,Resolved,240,184,-549,Minor,53,1463,Weak Password,Confidential,  No  ,N. Laurent
INC-20240090,2025-09-24 04:08:38,France,R&D,Server,Ransomware,High,P2 - High,IDS/IPS,Resolved,1539,955,4901,Minor,410,38379,  Third-Party Supplier  ,Internal,  No  ,A. Weber
INC-20240091,2024-11-13 10:58:27,  Belgium  ,HR,Email Account,Phishing,Critical,P1 - Critical,IDS/IPS,Eradicated,280,981,2531,None,0 min,96321,  Weak Password  ,Internal,No,S. Rossi
INC-20240092,2025-04-15 02:37:27,Germany,IT,  Database  ,  Malware  ,High,p2-high,SIEM,In Progress,355,649,1499,Minor,154,15809,Weak Password,Confidential,No,  N. Laurent  
INC-20240093,09/05/2024 11:49,Belgium,Facilities,Mobile Device,Data-Exfiltration,High,  P2 - High  ,SIEM,In Progress,695,936,3393,None,0,14814,Weak Password,Internal,No,M. Dupont
INC-20240094,2025-03-25 06:07:17,Luxembourg,Procurement,Server,Malware,Medium,P3 - Medium,Email Gateway,False Positive,414,305,250,Minor,23,2645 EUR,Lost/Stolen,Internal,No,S. Rossi
INC-20240095,2024-09-21 23:51:58,Luxembourg,HR,  Application  ,Phishing,Low,P4 - Low,EDR,Resolved,96,77,532,Minor,49,430,  Lost/Stolen  ,Internal,No,  C. Schmidt  
INC-20240096,26/06/2024 17:04,Germany,Sales,Email Account,Misconfig,Medium,P3 - Medium,Email Gateway,Contained,197,61,557,  Minor  ,54,2770,  Third-Party Supplier  ,Public,No,A. Weber
INC-20240097,2024-07-19 22:23:30,  Germany  ,Facilities,Workstation,Phishing,Medium,P3 - Medium,EDR,Resolved,75,123,237,None,0,969,,Confidential,  No  ,J. Becker
INC-20240098,2025-04-04 03:04:13,Belgium,IT,Cloud Service,Ransomware,Critical,P1 - Critical,  Audit  ,In Progress,-2352,2162,-4096,Minor,331,167715,Misconfiguration,  Internal  ,  No  ,C. Schmidt
INC-20240099,03-30-2025 21:46,  Luxembourg  ,Legal,Server,Malware,Medium,P3 - Medium,IDS/IPS,Contained,234,290,398,Minor,32,1120,,Internal,No,  S. Rossi  
INC-20240100,2025-04-11 11:17:42,Germany,HR,Server,Malware,Medium,P3 - Medium,IDS/IPS,Resolved,234,110,357,None,0,1300,Insider Error,Confidential,No,M. Dupont
INC-20240101,2025-04-24 11:14:43,Belgium,Operations,Mobile Device,Unauthorized Access,Medium,P3 - Medium,Threat Intel,In Progress,321,150,723,Minor,-72,4849 EUR,Unpatched Vulnerability,  Restricted  ,Yes,E. Bernard
INC-20240102,09/10/2025 01:22,France,HR,Database,Misconfiguration,Low,P4 - Low,User Report,Contained,77,43,283,Moderate,103,526,Lost/Stolen,  Confidential  ,,S. Rossi
INC-20240103,2024-12-17 16:10:22,France,Facilities,Cloud Service,Data Exfiltration,Low,P4 Low,Email Gateway,Eradicated,229,107,693,Minor,56 min,495,Lost/Stolen,  Confidential  ,No,L. Müller
INC-20240104,08-03-2025 10:15,Germany,Procurement,Database,Malware,Critical,P1 - Critical,User Report,  Resolved  ,1754,1129,1302,Major,836,88368,  Lost/Stolen  ,Confidential,No,A. Weber
